testname,event,treatment,start,load,style.load,idle,features_number
(index):308 LayerVSMatch,idle,T3-Pt,6944.0999999940395,12963.199999988079,3755.9000000059605,12964.09999999404,10000
LayerVSMatch,idle,T1-Pt,5142.4000000059605,20722.79999998212,1948.5,20727.59999999404,10000
(index):308 LayerVSMatch,idle,T2-Ls,8763.59999999404,2728.300000011921,427.59999999403954,2728.4000000059605,10000
(index):308 LayerVSMatch,idle,T1-Pt,606.4000000059605,19311.5,1858.5,19313.19999998808,10000
(index):308 LayerVSMatch,idle,T3-Ls,5076.4000000059605,11333.59999999404,3347.800000011921,11337.300000011921,10000
(index):308 LayerVSMatch,idle,T3-Pt,3889.100000023842,14530.5,3500.399999976158,14532,10000
(index):308 LayerVSMatch,idle,T3-Ls,6039,17774.600000023842,2845.7000000178814,17776,10000
(index):308 LayerVSMatch,idle,T3-Pt,2817.2999999821186,6902.700000017881,1383.5,6903.700000017881,10000
(index):308 LayerVSMatch,idle,T2-Ls2,3245.300000011921,3827,1435.5999999940395,3827.0999999940395,10000
(index):308 LayerVSMatch,idle,T3-Pt,551.9000000059605,7058.5,1325.300000011921,7059.300000011921,10000
(index):308 LayerVSMatch,idle,T2-Pt,5189.4000000059605,6372.800000011921,3613.4000000059605,6372.9000000059605,10000
(index):308 LayerVSMatch,idle,T3-Pt,989.5,24540.80000001192,2786,24544,10000
(index):308 LayerVSMatch,idle,T2-Ls,3605.9000000059605,4154.5999999940395,1816.2999999821186,4154.699999988079,10000
(index):308 LayerVSMatch,idle,T3-Pt,638.9000000059605,9584.09999999404,2105.7999999821186,9585.59999999404,10000
(index):308 LayerVSMatch,idle,T3-Ls,6459.300000011921,12581.199999988079,3434.0999999940395,12582.699999988079,10000
(index):308 LayerVSMatch,idle,T2-Pt,5309.9000000059605,2561.5999999940395,560.9000000059605,2688.4000000059605,10000
(index):308 LayerVSMatch,idle,T3-Ls,626.8000000119209,10898.90000000596,1737.7999999821186,10901.09999999404,10000
(index):308 LayerVSMatch,idle,T1-Pt,3416.2999999821186,30094.5,3849,30096.600000023842,10000
(index):308 LayerVSMatch,idle,T2-Pt,5601.899999976158,4688.9000000059605,2442.600000023842,4744.700000017881,10000
(index):308 LayerVSMatch,idle,T2-Ls2,550.0999999940395,4687.0999999940395,808.5,4687.300000011921,10000
(index):308 LayerVSMatch,idle,T3-Pt,603.9000000059605,8424.899999976158,1586.0999999940395,8426.09999999404,10000
(index):308 LayerVSMatch,idle,T2-Pt,4466.199999988079,4658.300000011921,2484.199999988079,4658.5,10000
(index):308 LayerVSMatch,idle,T2-Ls2,608.6000000238419,3997.2999999821186,757.1999999880791,4245.399999976158,10000
(index):308 LayerVSMatch,idle,T2-Ls2,621.2000000178814,3992.5999999940395,968.6999999880791,3992.9000000059605,10000
(index):308 LayerVSMatch,idle,T1-Pt,617.3000000119209,27221.19999998808,2640,27222.69999998808,10000
(index):308 LayerVSMatch,idle,T2-Ls,3424.4000000059605,6003.699999988079,2790.699999988079,6003.899999976158,10000
(index):308 LayerVSMatch,idle,T2-Ls2,775.4000000059605,4292.9000000059605,1239.7000000178814,4293,10000
(index):308 LayerVSMatch,idle,T1-Pt,567.6000000238419,29304.29999998212,1875,29306.29999998212,10000
(index):308 LayerVSMatch,idle,T2-Pt,3230.2000000178814,4885.199999988079,2296.9000000059605,4930.5,10000
(index):308 LayerVSMatch,idle,T2-Ls2,535.8999999761581,4089.9000000059605,739,4090,10000
(index):308 LayerVSMatch,idle,T2-Ls2,881,3340.9000000059605,672.8000000119209,3576.0999999940395,10000
